Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name
Sammy,2012,2,1,@DadBoner,Win,115.04 - 102.30,115.04,102.3,12.74,,Fred
Sammy,2012,2,2,The Big Dipper,Win,98.76 - 94.62,98.76,94.62,4.14,,Jack
Sammy,2012,2,3,Margotta,Loss,88.52 - 145.46,88.52,145.46,-56.94,,Tyler
Sammy,2012,2,4,nemazz,Loss,107.16 - 154.98,107.16,154.98,-47.82,,Sean
Sammy,2012,2,5,TrailrparkSuprvisors,Loss,106.36 - 129.36,106.36,129.36,-23,,Bean
Sammy,2012,2,6,Bassmaster Classic,Loss,88.70 - 91.98,88.7,91.98,-3.28,,Cory
Sammy,2012,2,7,Di'ago'nilli,Win,131.80 - 102.98,131.8,102.98,28.82,,Jay
Sammy,2012,2,8,@DadBoner,Loss,87.26 - 152.16,87.26,152.16,-64.9,,Fred
Sammy,2012,2,9,Rob Burgundy,Win,151.10 - 100.60,151.1,100.6,50.5,,Rob
Sammy,2012,2,10,tubes,Win,113.98 - 108.94,113.98,108.94,5.04,,Trev
Sammy,2012,2,11,The Big Dipper,Win,106.68 - 85.26,106.68,85.26,21.42,,Jack
Sammy,2012,2,12,Margotta,Win,116.46 - 101.60,116.46,101.6,14.86,,Tyler
Sammy,2012,2,13,Bassmaster Classic,Win,101.32 - 55.30,101.32,55.3,46.02,,Cory
KB,2012,2,1,Big Fried,Win,129.46 - 101.06,129.46,101.06,28.4,,Fried
KB,2012,2,2,tubes,Win,109.84 - 56.74,109.84,56.74,53.1,,Trev
KB,2012,2,3,nemazz,Loss,113.46 - 119.10,113.46,119.1,-5.64,,Sean
KB,2012,2,4,The Big Dipper,Win,142.76 - 98.10,142.76,98.1,44.66,,Jack
KB,2012,2,5,Margotta,Win,110.50 - 99.40,110.5,99.4,11.1,,Tyler
KB,2012,2,6,TrailrparkSuprvisors,Loss,91.76 - 115.12,91.76,115.12,-23.36,,Bean
KB,2012,2,7,Rob Burgundy,Loss,64.84 - 81.82,64.84,81.82,-16.98,,Rob
KB,2012,2,8,Big Fried,Win,115.38 - 81.32,115.38,81.32,34.06,,Fried
KB,2012,2,9,Bassmaster Classic,Win,123.58 - 93.04,123.58,93.04,30.54,,Cory
KB,2012,2,10,@DadBoner,Loss,103.44 - 118.96,103.44,118.96,-15.52,,Fred
KB,2012,2,11,tubes,Loss,66.34 - 103.66,66.34,103.66,-37.32,,Trev
KB,2012,2,12,nemazz,Loss,107.02 - 137.20,107.02,137.2,-30.18,,Sean
KB,2012,2,13,TrailrparkSuprvisors,Loss,69.30 - 92.60,69.3,92.6,-23.3,,Bean
Jay,2012,2,1,Margotta,Loss,108.68 - 115.86,108.68,115.86,-7.18,,Tyler
Jay,2012,2,2,@DadBoner,Loss,77.16 - 97.14,77.16,97.14,-19.98,,Fred
Jay,2012,2,3,Bassmaster Classic,Win,112.06 - 97.88,112.06,97.88,14.18,,Cory
Jay,2012,2,4,Big Fried,Loss,122.12 - 128.08,122.12,128.08,-5.96,,Fried
Jay,2012,2,5,nemazz,Win,130.14 - 109.52,130.14,109.52,20.62,,Sean
Jay,2012,2,6,The Big Dipper,Win,105.22 - 53.80,105.22,53.8,51.42,,Jack
Jay,2012,2,7,the green bastard,Loss,102.98 - 131.80,102.98,131.8,-28.82,,Sammy
Jay,2012,2,8,Margotta,Win,89.18 - 66.18,89.18,66.18,23,,Tyler
Jay,2012,2,9,TrailrparkSuprvisors,Win,131.84 - 80.40,131.84,80.4,51.44,,Bean
Jay,2012,2,10,Rob Burgundy,Win,95.26 - 53.26,95.26,53.26,42,,Rob
Jay,2012,2,11,@DadBoner,Loss,74.36 - 80.24,74.36,80.24,-5.88,,Fred
Jay,2012,2,12,Bassmaster Classic,Win,95.88 - 76.90,95.88,76.9,18.98,,Cory
Jay,2012,2,13,The Big Dipper,Win,92.62 - 90.44,92.62,90.44,2.18,,Jack
Jack,2012,2,1,Bassmaster Classic,Loss,109.62 - 122.68,109.62,122.68,-13.06,,Cory
Jack,2012,2,2,the green bastard,Loss,94.62 - 98.76,94.62,98.76,-4.14,,Sammy
Jack,2012,2,3,@DadBoner,Loss,77.08 - 99.18,77.08,99.18,-22.1,,Fred
Jack,2012,2,4,I am The Liquor,Loss,98.10 - 142.76,98.1,142.76,-44.66,,KB
Jack,2012,2,5,Big Fried,Loss,68.74 - 89.18,68.74,89.18,-20.44,,Fried
Jack,2012,2,6,Di'ago'nilli,Loss,53.80 - 105.22,53.8,105.22,-51.42,,Jay
Jack,2012,2,7,Margotta,Win,100.84 - 54.02,100.84,54.02,46.82,,Tyler
Jack,2012,2,8,Bassmaster Classic,Win,89.68 - 68.24,89.68,68.24,21.44,,Cory
Jack,2012,2,9,nemazz,Loss,62.42 - 93.76,62.42,93.76,-31.34,,Sean
Jack,2012,2,10,TrailrparkSuprvisors,Loss,106.28 - 109.20,106.28,109.2,-2.92,,Bean
Jack,2012,2,11,the green bastard,Loss,85.26 - 106.68,85.26,106.68,-21.42,,Sammy
Jack,2012,2,12,@DadBoner,Loss,73.20 - 125.44,73.2,125.44,-52.24,,Fred
Jack,2012,2,13,Di'ago'nilli,Loss,90.44 - 92.62,90.44,92.62,-2.18,,Jay
Tyler,2012,2,1,Di'ago'nilli,Win,115.86 - 108.68,115.86,108.68,7.18,,Jay
Tyler,2012,2,2,Bassmaster Classic,Win,138.28 - 83.04,138.28,83.04,55.24,,Cory
Tyler,2012,2,3,the green bastard,Win,145.46 - 88.52,145.46,88.52,56.94,,Sammy
Tyler,2012,2,4,tubes,Loss,116.14 - 134.12,116.14,134.12,-17.98,,Trev
Tyler,2012,2,5,I am The Liquor,Loss,99.40 - 110.50,99.4,110.5,-11.1,,KB
Tyler,2012,2,6,@DadBoner,Loss,92.16 - 124.64,92.16,124.64,-32.48,,Fred
Tyler,2012,2,7,The Big Dipper,Loss,54.02 - 100.84,54.02,100.84,-46.82,,Jack
Tyler,2012,2,8,Di'ago'nilli,Loss,66.18 - 89.18,66.18,89.18,-23,,Jay
Tyler,2012,2,9,Big Fried,Loss,73.64 - 110.86,73.64,110.86,-37.22,,Fried
Tyler,2012,2,10,nemazz,Loss,75.56 - 103.20,75.56,103.2,-27.64,,Sean
Tyler,2012,2,11,Bassmaster Classic,Win,87.76 - 82.00,87.76,82,5.76,,Cory
Tyler,2012,2,12,the green bastard,Loss,101.60 - 116.46,101.6,116.46,-14.86,,Sammy
Tyler,2012,2,13,@DadBoner,Loss,69.52 - 110.92,69.52,110.92,-41.4,,Fred
Trev,2012,2,1,Rob Burgundy,Loss,93.42 - 131.10,93.42,131.1,-37.68,,Rob
Trev,2012,2,2,I am The Liquor,Loss,56.74 - 109.84,56.74,109.84,-53.1,,KB
Trev,2012,2,3,Big Fried,Loss,90.00 - 100.90,90,100.9,-10.9,,Fried
Trev,2012,2,4,Margotta,Win,134.12 - 116.14,134.12,116.14,17.98,,Tyler
Trev,2012,2,5,Bassmaster Classic,Win,159.98 - 78.20,159.98,78.2,81.78,,Cory
Trev,2012,2,6,nemazz,Loss,100.26 - 129.46,100.26,129.46,-29.2,,Sean
Trev,2012,2,7,TrailrparkSuprvisors,Win,95.72 - 88.98,95.72,88.98,6.74,,Bean
Trev,2012,2,8,Rob Burgundy,Win,121.90 - 115.08,121.9,115.08,6.82,,Rob
Trev,2012,2,9,@DadBoner,Loss,117.74 - 144.50,117.74,144.5,-26.76,,Fred
Trev,2012,2,10,the green bastard,Loss,108.94 - 113.98,108.94,113.98,-5.04,,Sammy
Trev,2012,2,11,I am The Liquor,Win,103.66 - 66.34,103.66,66.34,37.32,,KB
Trev,2012,2,12,Big Fried,Win,125.60 - 99.98,125.6,99.98,25.62,,Fried
Trev,2012,2,13,nemazz,Win,122.48 - 101.52,122.48,101.52,20.96,,Sean
Cory,2012,2,1,The Big Dipper,Win,122.68 - 109.62,122.68,109.62,13.06,,Jack
Cory,2012,2,2,Margotta,Loss,83.04 - 138.28,83.04,138.28,-55.24,,Tyler
Cory,2012,2,3,Di'ago'nilli,Loss,97.88 - 112.06,97.88,112.06,-14.18,,Jay
Cory,2012,2,4,Rob Burgundy,Win,128.14 - 67.72,128.14,67.72,60.42,,Rob
Cory,2012,2,5,tubes,Loss,78.20 - 159.98,78.2,159.98,-81.78,,Trev
Cory,2012,2,6,the green bastard,Win,91.98 - 88.70,91.98,88.7,3.28,,Sammy
Cory,2012,2,7,@DadBoner,Win,91.52 - 80.16,91.52,80.16,11.36,,Fred
Cory,2012,2,8,The Big Dipper,Loss,68.24 - 89.68,68.24,89.68,-21.44,,Jack
Cory,2012,2,9,I am The Liquor,Loss,93.04 - 123.58,93.04,123.58,-30.54,,KB
Cory,2012,2,10,Big Fried,Loss,61.86 - 89.02,61.86,89.02,-27.16,,Fried
Cory,2012,2,11,Margotta,Loss,82.00 - 87.76,82,87.76,-5.76,,Tyler
Cory,2012,2,12,Di'ago'nilli,Loss,76.90 - 95.88,76.9,95.88,-18.98,,Jay
Cory,2012,2,13,the green bastard,Loss,55.30 - 101.32,55.3,101.32,-46.02,,Sammy
Bean,2011,1,1,Turkish Pizza,Win,108.40 - 99.96,108.4,99.96,8.44,,Trev
Bean,2011,1,2,Big Fried,Loss,79.92 - 111.52,79.92,111.52,-31.6,,Fried
Bean,2011,1,3,#spaggust,Win,107.56 - 96.32,107.56,96.32,11.24,,KB
Bean,2011,1,4,nemazz,Loss,84.94 - 155.62,84.94,155.62,-70.68,,Sean
Bean,2011,1,5,Henne Nut Cherrios,Loss,79.16 - 95.54,79.16,95.54,-16.38,,Tyler
Bean,2011,1,6,Nigelberries-thorn,Win,104.02 - 87.52,104.02,87.52,16.5,,Jay
Bean,2011,1,7,bacardi chazz,Loss,54.02 - 103.78,54.02,103.78,-49.76,,Chaz
Bean,2011,1,8,Turkish Pizza,Win,100.28 - 95.14,100.28,95.14,5.14,,Trev
Bean,2011,1,9,ThorniestOfTheThorns,Win,94.28 - 92.58,94.28,92.58,1.7,,Brandon
Bean,2011,1,10,Bassmaster Classic,Loss,69.64 - 122.60,69.64,122.6,-52.96,,Cory
Bean,2011,1,11,Big Fried,Win,139.60 - 109.46,139.6,109.46,30.14,,Fried
Bean,2011,1,12,#spaggust,Win,124.84 - 81.26,124.84,81.26,43.58,,KB
Bean,2011,1,13,Nigelberries-thorn,Win,131.62 - 66.08,131.62,66.08,65.54,,Jay
Sean,2011,1,1,Henne Nut Cherrios,Win,109.22 - 93.68,109.22,93.68,15.54,,Tyler
Sean,2011,1,2,ThorniestOfTheThorns,Loss,77.34 - 118.72,77.34,118.72,-41.38,,Brandon
Sean,2011,1,3,Bassmaster Classic,Win,126.08 - 120.08,126.08,120.08,6,,Cory
Sean,2011,1,4,The Bean Factory,Win,155.62 - 84.94,155.62,84.94,70.68,,Bean
Sean,2011,1,5,#spaggust,Win,113.42 - 79.04,113.42,79.04,34.38,,KB
Sean,2011,1,6,Texas #Longthorns,Loss,112.78 - 137.16,112.78,137.16,-24.38,,Cory
Sean,2011,1,7,lightning labia,Win,84.00 - 67.66,84,67.66,16.34,,Sammy
Sean,2011,1,8,Henne Nut Cherrios,Loss,81.16 - 125.06,81.16,125.06,-43.9,,Tyler
Sean,2011,1,9,bacardi chazz,Win,120.58 - 88.56,120.58,88.56,32.02,,Chaz
Sean,2011,1,10,Nigelberries-thorn,Win,92.26 - 84.04,92.26,84.04,8.22,,Jay
Sean,2011,1,11,ThorniestOfTheThorns,Win,97.22 - 73.36,97.22,73.36,23.86,,Brandon
Sean,2011,1,12,Bassmaster Classic,Win,142.42 - 50.84,142.42,50.84,91.58,,Cory
Sean,2011,1,13,Texas #Longthorns,Loss,122.94 - 123.86,122.94,123.86,-0.92,,Cory
Tyler,2011,1,1,nemazz,Loss,93.68 - 109.22,93.68,109.22,-15.54,,Sean
Tyler,2011,1,2,Bassmaster Classic,Win,157.90 - 106.88,157.9,106.88,51.02,,Cory
Tyler,2011,1,3,Texas #Longthorns,Win,102.26 - 90.82,102.26,90.82,11.44,,Cory
Tyler,2011,1,4,Turkish Pizza,Win,126.78 - 125.58,126.78,125.58,1.2,,Trev
Tyler,2011,1,5,The Bean Factory,Win,95.54 - 79.16,95.54,79.16,16.38,,Bean
Tyler,2011,1,6,lightning labia,Win,93.36 - 82.40,93.36,82.4,10.96,,Sammy
Tyler,2011,1,7,ThorniestOfTheThorns,Win,110.30 - 83.90,110.3,83.9,26.4,,Brandon
Tyler,2011,1,8,nemazz,Win,125.06 - 81.16,125.06,81.16,43.9,,Sean
Tyler,2011,1,9,#spaggust,Win,160.54 - 102.06,160.54,102.06,58.48,,KB
Tyler,2011,1,10,bacardi chazz,Win,125.88 - 70.02,125.88,70.02,55.86,,Chaz
Tyler,2011,1,11,Bassmaster Classic,Win,130.18 - 61.30,130.18,61.3,68.88,,Cory
Tyler,2011,1,12,Texas #Longthorns,Loss,90.88 - 98.72,90.88,98.72,-7.84,,Cory
Tyler,2011,1,13,lightning labia,Win,107.10 - 82.26,107.1,82.26,24.84,,Sammy
Trev,2011,1,1,The Bean Factory,Loss,99.96 - 108.40,99.96,108.4,-8.44,,Bean
Trev,2011,1,2,#spaggust,Loss,106.42 - 141.80,106.42,141.8,-35.38,,KB
Trev,2011,1,3,Nigelberries-thorn,Win,98.30 - 65.10,98.3,65.1,33.2,,Jay
Trev,2011,1,4,Henne Nut Cherrios,Loss,125.58 - 126.78,125.58,126.78,-1.2,,Tyler
Trev,2011,1,5,ThorniestOfTheThorns,Loss,101.08 - 132.40,101.08,132.4,-31.32,,Brandon
Trev,2011,1,6,bacardi chazz,Loss,78.24 - 90.88,78.24,90.88,-12.64,,Chaz
Trev,2011,1,7,Big Fried,Win,105.00 - 62.54,105,62.54,42.46,,Fried
Trev,2011,1,8,The Bean Factory,Loss,95.14 - 100.28,95.14,100.28,-5.14,,Bean
Trev,2011,1,9,Bassmaster Classic,Loss,83.14 - 98.80,83.14,98.8,-15.66,,Cory
Trev,2011,1,10,Texas #Longthorns,Win,87.00 - 81.58,87,81.58,5.42,,Cory
Trev,2011,1,11,#spaggust,Loss,58.56 - 120.26,58.56,120.26,-61.7,,KB
Trev,2011,1,12,Nigelberries-thorn,Loss,72.10 - 127.08,72.1,127.08,-54.98,,Jay
Trev,2011,1,13,bacardi chazz,Loss,84.80 - 127.08,84.8,127.08,-42.28,,Chaz
Fried,2011,1,1,Nigelberries-thorn,Win,114.68 - 99.06,114.68,99.06,15.62,,Jay
Fried,2011,1,2,The Bean Factory,Win,111.52 - 79.92,111.52,79.92,31.6,,Bean
Fried,2011,1,3,bacardi chazz,Win,113.88 - 103.48,113.88,103.48,10.4,,Chaz
Fried,2011,1,4,ThorniestOfTheThorns,Loss,111.98 - 122.68,111.98,122.68,-10.7,,Brandon
Fried,2011,1,5,Bassmaster Classic,Win,98.04 - 79.58,98.04,79.58,18.46,,Cory
Fried,2011,1,6,#spaggust,Loss,79.42 - 112.56,79.42,112.56,-33.14,,KB
Fried,2011,1,7,Turkish Pizza,Loss,62.54 - 105.00,62.54,105,-42.46,,Trev
Fried,2011,1,8,Nigelberries-thorn,Win,98.98 - 21.60,98.98,21.6,77.38,,Jay
Fried,2011,1,9,Texas #Longthorns,Win,100.70 - 79.94,100.7,79.94,20.76,,Cory
Fried,2011,1,10,lightning labia,Win,107.82 - 78.86,107.82,78.86,28.96,,Sammy
Fried,2011,1,11,The Bean Factory,Loss,109.46 - 139.60,109.46,139.6,-30.14,,Bean
Fried,2011,1,12,bacardi chazz,Loss,83.74 - 116.98,83.74,116.98,-33.24,,Chaz
Fried,2011,1,13,#spaggust,Win,104.16 - 56.32,104.16,56.32,47.84,,KB
Brandon,2011,1,1,Texas #Longthorns,Loss,128.26 - 134.68,128.26,134.68,-6.42,,Cory
Brandon,2011,1,2,nemazz,Win,118.72 - 77.34,118.72,77.34,41.38,,Sean
Brandon,2011,1,3,lightning labia,Win,130.26 - 69.74,130.26,69.74,60.52,,Sammy
Brandon,2011,1,4,Big Fried,Win,122.68 - 111.98,122.68,111.98,10.7,,Fried
Brandon,2011,1,5,Turkish Pizza,Win,132.40 - 101.08,132.4,101.08,31.32,,Trev
Brandon,2011,1,6,Bassmaster Classic,Win,117.10 - 99.70,117.1,99.7,17.4,,Cory
Brandon,2011,1,7,Henne Nut Cherrios,Loss,83.90 - 110.30,83.9,110.3,-26.4,,Tyler
Brandon,2011,1,8,Texas #Longthorns,Loss,70.98 - 128.90,70.98,128.9,-57.92,,Cory
Brandon,2011,1,9,The Bean Factory,Loss,92.58 - 94.28,92.58,94.28,-1.7,,Bean
Brandon,2011,1,10,#spaggust,Win,121.72 - 91.88,121.72,91.88,29.84,,KB
Brandon,2011,1,11,nemazz,Loss,73.36 - 97.22,73.36,97.22,-23.86,,Sean
Brandon,2011,1,12,lightning labia,Win,117.56 - 82.42,117.56,82.42,35.14,,Sammy
Brandon,2011,1,13,Bassmaster Classic,Win,89.62 - 66.02,89.62,66.02,23.6,,Cory
Cory,2011,1,1,lightning labia,Win,100.16 - 82.00,100.16,82,18.16,,Sammy
Cory,2011,1,2,Henne Nut Cherrios,Loss,106.88 - 157.90,106.88,157.9,-51.02,,Tyler
Cory,2011,1,3,nemazz,Loss,120.08 - 126.08,120.08,126.08,-6,,Sean
Cory,2011,1,4,Nigelberries-thorn,Loss,101.68 - 111.24,101.68,111.24,-9.56,,Jay
Cory,2011,1,5,Big Fried,Loss,79.58 - 98.04,79.58,98.04,-18.46,,Fried
Cory,2011,1,6,ThorniestOfTheThorns,Loss,99.70 - 117.10,99.7,117.1,-17.4,,Brandon
Cory,2011,1,7,Texas #Longthorns,Win,101.88 - 85.34,101.88,85.34,16.54,,Cory
Cory,2011,1,8,lightning labia,Loss,111.44 - 125.06,111.44,125.06,-13.62,,Sammy
Cory,2011,1,9,Turkish Pizza,Win,98.80 - 83.14,98.8,83.14,15.66,,Trev
Cory,2011,1,10,The Bean Factory,Win,122.60 - 69.64,122.6,69.64,52.96,,Bean
Cory,2011,1,11,Henne Nut Cherrios,Loss,61.30 - 130.18,61.3,130.18,-68.88,,Tyler
Cory,2011,1,12,nemazz,Loss,50.84 - 142.42,50.84,142.42,-91.58,,Sean
Cory,2011,1,13,ThorniestOfTheThorns,Loss,66.02 - 89.62,66.02,89.62,-23.6,,Brandon
KB,2011,1,1,bacardi chazz,Win,90.10 - 87.78,90.1,87.78,2.32,,Chaz
KB,2011,1,2,Turkish Pizza,Win,141.80 - 106.42,141.8,106.42,35.38,,Trev
KB,2011,1,3,The Bean Factory,Loss,96.32 - 107.56,96.32,107.56,-11.24,,Bean
KB,2011,1,4,lightning labia,Loss,80.62 - 103.18,80.62,103.18,-22.56,,Sammy
KB,2011,1,5,nemazz,Loss,79.04 - 113.42,79.04,113.42,-34.38,,Sean
KB,2011,1,6,Big Fried,Win,112.56 - 79.42,112.56,79.42,33.14,,Fried
KB,2011,1,7,Nigelberries-thorn,Loss,85.70 - 99.92,85.7,99.92,-14.22,,Jay
KB,2011,1,8,bacardi chazz,Win,94.20 - 90.26,94.2,90.26,3.94,,Chaz
KB,2011,1,9,Henne Nut Cherrios,Loss,102.06 - 160.54,102.06,160.54,-58.48,,Tyler
KB,2011,1,10,ThorniestOfTheThorns,Loss,91.88 - 121.72,91.88,121.72,-29.84,,Brandon
KB,2011,1,11,Turkish Pizza,Win,120.26 - 58.56,120.26,58.56,61.7,,Trev
KB,2011,1,12,The Bean Factory,Loss,81.26 - 124.84,81.26,124.84,-43.58,,Bean
KB,2011,1,13,Big Fried,Loss,56.32 - 104.16,56.32,104.16,-47.84,,Fried
Fred,2011,1,1,ThorniestOfTheThorns,Win,134.68 - 128.26,134.68,128.26,6.42,,Brandon
Fred,2011,1,2,lightning labia,Win,125.82 - 94.62,125.82,94.62,31.2,,Sammy
Fred,2011,1,3,Henne Nut Cherrios,Loss,90.82 - 102.26,90.82,102.26,-11.44,,Tyler
Fred,2011,1,4,bacardi chazz,Loss,114.56 - 128.84,114.56,128.84,-14.28,,Chaz
Fred,2011,1,5,Nigelberries-thorn,Win,118.26 - 86.68,118.26,86.68,31.58,,Jay
Fred,2011,1,6,nemazz,Win,137.16 - 112.78,137.16,112.78,24.38,,Sean
Fred,2011,1,7,Bassmaster Classic,Loss,85.34 - 101.88,85.34,101.88,-16.54,,Cory
Fred,2011,1,8,ThorniestOfTheThorns,Win,128.90 - 70.98,128.9,70.98,57.92,,Brandon
Fred,2011,1,9,Big Fried,Loss,79.94 - 100.70,79.94,100.7,-20.76,,Fried
Fred,2011,1,10,Turkish Pizza,Loss,81.58 - 87.00,81.58,87,-5.42,,Trev
Fred,2011,1,11,lightning labia,Win,97.90 - 86.10,97.9,86.1,11.8,,Sammy
Fred,2011,1,12,Henne Nut Cherrios,Win,98.72 - 90.88,98.72,90.88,7.84,,Tyler
Fred,2011,1,13,nemazz,Win,123.86 - 122.94,123.86,122.94,0.92,,Sean
Sammy,2011,1,1,Bassmaster Classic,Loss,82.00 - 100.16,82,100.16,-18.16,,Cory
Sammy,2011,1,2,Texas #Longthorns,Loss,94.62 - 125.82,94.62,125.82,-31.2,,Cory
Sammy,2011,1,3,ThorniestOfTheThorns,Loss,69.74 - 130.26,69.74,130.26,-60.52,,Brandon
Sammy,2011,1,4,#spaggust,Win,103.18 - 80.62,103.18,80.62,22.56,,KB
Sammy,2011,1,5,bacardi chazz,Loss,103.10 - 105.00,103.1,105,-1.9,,Chaz
Sammy,2011,1,6,Henne Nut Cherrios,Loss,82.40 - 93.36,82.4,93.36,-10.96,,Tyler
Sammy,2011,1,7,nemazz,Loss,67.66 - 84.00,67.66,84,-16.34,,Sean
Sammy,2011,1,8,Bassmaster Classic,Win,125.06 - 111.44,125.06,111.44,13.62,,Cory
Sammy,2011,1,9,Nigelberries-thorn,Loss,94.20 - 107.10,94.2,107.1,-12.9,,Jay
Sammy,2011,1,10,Big Fried,Loss,78.86 - 107.82,78.86,107.82,-28.96,,Fried
Sammy,2011,1,11,Texas #Longthorns,Loss,86.10 - 97.90,86.1,97.9,-11.8,,Cory
Sammy,2011,1,12,ThorniestOfTheThorns,Loss,82.42 - 117.56,82.42,117.56,-35.14,,Brandon
Sammy,2011,1,13,Henne Nut Cherrios,Loss,82.26 - 107.10,82.26,107.1,-24.84,,Tyler
Jay,2011,1,1,Big Fried,Loss,99.06 - 114.68,99.06,114.68,-15.62,,Fried
Jay,2011,1,2,bacardi chazz,Win,133.70 - 90.42,133.7,90.42,43.28,,Chaz
Jay,2011,1,3,Turkish Pizza,Loss,65.10 - 98.30,65.1,98.3,-33.2,,Trev
Jay,2011,1,4,Bassmaster Classic,Win,111.24 - 101.68,111.24,101.68,9.56,,Cory
Jay,2011,1,5,Texas #Longthorns,Loss,86.68 - 118.26,86.68,118.26,-31.58,,Cory
Jay,2011,1,6,The Bean Factory,Loss,87.52 - 104.02,87.52,104.02,-16.5,,Bean
Jay,2011,1,7,#spaggust,Win,99.92 - 85.70,99.92,85.7,14.22,,KB
Jay,2011,1,8,Big Fried,Loss,21.60 - 98.98,21.6,98.98,-77.38,,Fried
Jay,2011,1,9,lightning labia,Win,107.10 - 94.20,107.1,94.2,12.9,,Sammy
Jay,2011,1,10,nemazz,Loss,84.04 - 92.26,84.04,92.26,-8.22,,Sean
Jay,2011,1,11,bacardi chazz,Loss,83.24 - 84.40,83.24,84.4,-1.16,,Chaz
Jay,2011,1,12,Turkish Pizza,Win,127.08 - 72.10,127.08,72.1,54.98,,Trev
Jay,2011,1,13,The Bean Factory,Loss,66.08 - 131.62,66.08,131.62,-65.54,,Bean
Chaz,2011,1,1,#spaggust,Loss,87.78 - 90.10,87.78,90.1,-2.32,,KB
Chaz,2011,1,2,Nigelberries-thorn,Loss,90.42 - 133.70,90.42,133.7,-43.28,,Jay
Chaz,2011,1,3,Big Fried,Loss,103.48 - 113.88,103.48,113.88,-10.4,,Fried
Chaz,2011,1,4,Texas #Longthorns,Win,128.84 - 114.56,128.84,114.56,14.28,,Cory
Chaz,2011,1,5,lightning labia,Win,105.00 - 103.10,105,103.1,1.9,,Sammy
Chaz,2011,1,6,Turkish Pizza,Win,90.88 - 78.24,90.88,78.24,12.64,,Trev
Chaz,2011,1,7,The Bean Factory,Win,103.78 - 54.02,103.78,54.02,49.76,,Bean
Chaz,2011,1,8,#spaggust,Loss,90.26 - 94.20,90.26,94.2,-3.94,,KB
Chaz,2011,1,9,nemazz,Loss,88.56 - 120.58,88.56,120.58,-32.02,,Sean
Chaz,2011,1,10,Henne Nut Cherrios,Loss,70.02 - 125.88,70.02,125.88,-55.86,,Tyler
Chaz,2011,1,11,Nigelberries-thorn,Win,84.40 - 83.24,84.4,83.24,1.16,,Jay
Chaz,2011,1,12,Big Fried,Win,116.98 - 83.74,116.98,83.74,33.24,,Fried
Chaz,2011,1,13,Turkish Pizza,Win,127.08 - 84.80,127.08,84.8,42.28,,Trev
